Provider #,Site Name,State,Type (group),Type,City,County,Rural Status,Site Subcategory,# of Beds,.Hospital Locations,Latitude,Longitude
319802,HACKENSACK UNIVERSITY MEDICAL CENTER,NJ,All Others,Data not provided by CMS,Hackensack,Bergen County,No,Transplant Hospitals,0,Point,40.88236598,-74.05613803
319804,SAINT BARNABAS MEDICAL CENTER,NJ,All Others,Data not provided by CMS,Livingston,Essex County,No,Transplant Hospitals,0,Point,40.76345669,-74.30264751
21014E,PINE BLUFF STATE HOSP,MD,All Others,Data not provided by CMS,Salisbury,Wicomico County,No,Data not provided by CMS,65,Point,38.34904875,-75.61891371
21009F,FORT HOWARD VA OUTPATIENT CLINIC,MD,All Others,Data not provided by CMS,Fort Howard,Baltimore County,No,Data not provided by CMS,1,Point,39.22735165,-76.43051083
21001F,US ARMY HOSP,MD,All Others,Data not provided by CMS,Aberdeen,Harford County,No,Data not provided by CMS,75,Point,39.493027,-76.14300899
21006F,CLINICAL CENTER-NATL INST OF HEALTH,MD,All Others,Data not provided by CMS,Bethesda,Montgomery County,No,Data not provided by CMS,516,Point,39.003647,-77.10282899
21007F,WALTER REED NATIONAL MILITARY MEDICAL CENTER,MD,All Others,Data not provided by CMS,Bethesda,Montgomery County,No,Data not provided by CMS,725,Point,39.00360836,-77.0929122
21020F,BALTIMORE VA MEDICAL CENTER,MD,All Others,Data not provided by CMS,Baltimore,Baltimore City,No,Data not provided by CMS,137,Point,39.28977056,-76.62373441
51005F,MARTINSBURG VA MEDICAL CENTER,WV,All Others,Data not provided by CMS,Martinsburg,Berkeley County,No,Data not provided by CMS,559,Point,39.42960326,-77.94700458
51004F,HUNTINGTON VA MEDICAL CENTER,WV,All Others,Data not provided by CMS,Huntington,Wayne County,No,Data not provided by CMS,80,Point,38.37666501,-82.51676596
49027E,SALVATION ARMY HOME & HOSP,VA,All Others,Data not provided by CMS,Richmond,Richmond City,No,Data not provided by CMS,10,Point,37.56507374,-77.41751707
49033E,VIRGINIA TREATMENT CENTER FOR CHILDREN,VA,All Others,Data not provided by CMS,Richmond,Richmond City,No,Data not provided by CMS,40,Point,37.54291601,-77.43043081
49010F,HUNTER HOLMES MCGUIRE VA MEDICAL CENTER (RICHMOND),VA,All Others,Data not provided by CMS,Richmond,Richmond City,No,Data not provided by CMS,427,Point,37.49794698,-77.46743398
49022E,WESTBROOK PSYCHIATRIC HOSP,VA,All Others,Data not provided by CMS,Richmond,Henrico County,No,Data not provided by CMS,125,Point,37.59736213,-77.46038639
49030E,POAGES MILL CLINIC,VA,All Others,Data not provided by CMS,Roanoke,Roanoke City,No,Data not provided by CMS,2,Point,37.27060998,-79.94256003
49038F,FORT BELVOIR COMMUNITY HOSPTIAL,VA,All Others,Data not provided by CMS,Fort Belvoir,Fairfax County,No,Data not provided by CMS,1,Point,38.70605499,-77.14267748
49011F,SALEM VA MEDICAL CENTER,VA,All Others,Data not provided by CMS,Salem,Salem City,No,Data not provided by CMS,282,Point,37.27428398,-80.01875204
49004F,US ARMY HOSP,VA,All Others,Data not provided by CMS,Fort Monroe,Hampton City,No,Data not provided by CMS,30,Point,37.00652552,-76.31250742
49008F,NAVAL MEDICAL CENTER PORTSMOUTH VIRGINIA,VA,All Others,Data not provided by CMS,Portsmouth,Portsmouth City,No,Data not provided by CMS,1200,Point,36.84598298,-76.307753
49007F,US PUBLIC HEALTH SERVICE HOSP,VA,All Others,Data not provided by CMS,Norfolk,Norfolk City,No,Data not provided by CMS,210,Point,36.90195205,-76.30381359
49006F,HAMPTON VA MEDICAL CENTER,VA,All Others,Data not provided by CMS,Hampton,Hampton City,No,Data not provided by CMS,604,Point,37.01530765,-76.33320147
39004F,COATESVILLE VA MEDICAL CENTER,PA,All Others,Data not provided by CMS,Coatesville,Chester County,No,Data not provided by CMS,1010,Point,39.99809427,-75.7963145
39006F,LEBANON VA MEDICAL CENTER,PA,All Others,Data not provided by CMS,Lebanon,Lebanon County,No,Data not provided by CMS,1069,Point,40.31738501,-76.39941003
39009F,PHILADELPHIA VA MEDICAL CENTER,PA,All Others,Data not provided by CMS,Philadelphia,Philadelphia County,No,Data not provided by CMS,390,Point,39.94982004,-75.20089989
39001F,JAMES E VAN ZANDT VA MEDICAL CENTER (ALTOONA),PA,All Others,Data not provided by CMS,Altoona,Blair County,No,Data not provided by CMS,68,Point,40.48860701,-78.395656
39013F,WILKES-BARRE VA MEDICAL CENTER,PA,All Others,Data not provided by CMS,Wilkes Barre,Luzerne County,No,Data not provided by CMS,291,Point,41.24802747,-75.83728729
39011F,"VA PITTSBURGH HEALTHCARE SYS, HIGHLAND DRIVE DIV",PA,All Others,Data not provided by CMS,Pittsburgh,Allegheny County,No,Data not provided by CMS,590,Point,40.48053855,-79.89448227
39012F,"VA PITTSURGH HEALTHCARE SYST, UNIVERSITY DRIVE DIV",PA,All Others,Data not provided by CMS,Pittsburgh,Allegheny County,No,Data not provided by CMS,686,Point,40.44524001,-79.96003999
39005F,ERIE VA MEDICAL CENTER,PA,All Others,Data not provided by CMS,Erie,Erie County,No,Data not provided by CMS,87,Point,42.10338577,-80.06366697
08002F,WILMINGTON VA MEDICAL & REGIONAL OFFICE CENTER,DE,All Others,Data not provided by CMS,Wilmington,New Castle County,No,Data not provided by CMS,300,Point,39.73866049,-75.60645467
08001F,US AIR FORCE HOSP,DE,All Others,Data not provided by CMS,Dover,Kent County,No,Data not provided by CMS,70,Point,39.1224961,-75.47485217
49J300,COMMONWEALTH CENTER FOR CHILDREN AND ADOLESCENTS,VA,All Others,Data not provided by CMS,Staunton,Staunton City,No,Medicaid Only Psychiatric Hospitals,24,Point,38.1322084,-79.0352046
219800,"JOHNS HOPKINS HOSPITAL, THE",MD,All Others,Data not provided by CMS,Baltimore,Baltimore City,No,Transplant Hospitals,0,Point,39.29701965,-76.59082596
219801,UNIVERITY OF MARYLAND MEDICAL CENTER,MD,All Others,Data not provided by CMS,Baltimore,Baltimore City,No,Transplant Hospitals,0,Point,39.28815696,-76.62364556
519800,CHARLESTON AREA MEDICAL CENTER - TRANSPLANT,WV,All Others,Data not provided by CMS,Charleston,Kanawha County,No,Transplant Hospitals,0,Point,38.34712668,-81.62620166
519801,WVUH TRANSPLANT,WV,All Others,Data not provided by CMS,Morgantown,Monongalia County,No,Transplant Hospitals,0,Point,39.65334015,-79.95924233
499805,MEDICAL COLLEGE OF VIRGINIA,VA,All Others,Data not provided by CMS,Richmond,Richmond City,No,Transplant Hospitals,0,Point,37.54121998,-77.43054003
499804,HENRICO DOCTORS HOSPITAL - TRANSPLANT,VA,All Others,Data not provided by CMS,Richmond,Henrico County,No,Transplant Hospitals,0,Point,37.60405701,-77.540105
499802,UNIVERSITY OF VIRGINIA HEALTH SYSTEM,VA,All Others,Data not provided by CMS,Charlottesville,Albemarle County,No,Transplant Hospitals,0,Point,38.03283,-78.49986996
499801,INOVA FAIRFAX HOSPITAL,VA,All Others,Data not provided by CMS,Falls Church,Fairfax County,No,Transplant Hospitals,0,Point,38.8581924,-77.2264261
499800,SENTARA NORFOLK GENERAL HOSPITAL,VA,All Others,Data not provided by CMS,Norfolk,Norfolk City,No,Transplant Hospitals,0,Point,36.86320473,-76.30379901
499803,CHILDREN'S HOSP KINGS DAUGHTERS - TRANSPLANT,VA,All Others,Data not provided by CMS,Norfolk,Norfolk City,No,Transplant Hospitals,0,Point,36.86186639,-76.30135861
399813,ALBERT EINSTEIN MEDICAL CENTER TRANSPLANT CENTER,PA,All Others,Data not provided by CMS,Philadelphia,Philadelphia County,No,Transplant Hospitals,0,Point,40.03743033,-75.14459454
399806,TEMPLE UNIVERSITY HOSPITAL - TRANSPLANT CENTER,PA,All Others,Data not provided by CMS,Philadelphia,Philadelphia County,No,Transplant Hospitals,0,Point,40.0056337,-75.15198847
399818,ST CHRISTOPHER'S HOSPITAL FOR CHILDREN- TRANSPLANT,PA,All Others,Data not provided by CMS,Philadelphia,Philadelphia County,No,Transplant Hospitals,0,Point,40.0075672,-75.12623348
399819,READING HOSPITAL - TRANSPLANT CENTER,PA,All Others,Data not provided by CMS,Reading,Berks County,No,Transplant Hospitals,0,Point,40.32999174,-75.94830885
399800,GEISINGER MEDICAL CENTER - TRANSPLANT CENTER,PA,All Others,Data not provided by CMS,Danville,Montour County,No,Transplant Hospitals,0,Point,40.96974917,-76.60342522
399810,THOMAS JEFFERSON UNIVERSITY HOSPITAL TRANSPLANT,PA,All Others,Data not provided by CMS,Philadelphia,Philadelphia County,No,Transplant Hospitals,0,Point,39.94962528,-75.15870589
399812,CHILDREN'S HOSPITAL OF PHILADELPHIA TRANSPLANT,PA,All Others,Data not provided by CMS,Philadelphia,Philadelphia County,No,Transplant Hospitals,0,Point,39.94868999,-75.19290003
399808,HOSPITAL OF THE UNIVERSITY OF PENNSYLVANIA,PA,All Others,Data not provided by CMS,Philadelphia,Philadelphia County,No,Transplant Hospitals,0,Point,39.95053221,-75.19353546
399816,CROZER CHESTER MEDICAL CENTER - TRANSPLANT CENTER,PA,All Others,Data not provided by CMS,Chester,Delaware County,No,Transplant Hospitals,0,Point,39.85603157,-75.36863007
399811,MAIN LINE HOSPITAL LANKENAU TRANSPLANT CENTER,PA,All Others,Data not provided by CMS,Wynnewood,Montgomery County,No,Transplant Hospitals,0,Point,39.98823199,-75.26215802
399801,UPMC PRESBYTERIAN SHADYSIDE,PA,All Others,Data not provided by CMS,Pittsburgh,Allegheny County,No,Transplant Hospitals,0,Point,40.44202056,-79.96106141
399803,UPMC CHILDREN'S HOSPITAL OF PGH - TRANSPLANT CTR,PA,All Others,Data not provided by CMS,Pittsburgh,Allegheny County,No,Transplant Hospitals,0,Point,40.46602814,-79.95322793
399804,ALLEGHENY GENERAL HOSPITAL  TRANSPLANT CARE,PA,All Others,Data not provided by CMS,Pittsburgh,Allegheny County,No,Transplant Hospitals,0,Point,40.45610673,-80.00338641
399817,UPMC HAMOT  (TRANSPLANT CENTER),PA,All Others,Data not provided by CMS,Erie,Erie County,No,Transplant Hospitals,0,Point,42.13352496,-80.08792688
399809,UPMC PINNACLE HOSPITALS TRANSPLANT CENTER,PA,All Others,Data not provided by CMS,Harrisburg,Dauphin County,No,Transplant Hospitals,0,Point,40.25651501,-76.87582693
399807,MILTON S HERSHEY MEDICAL CENTER TRANSPLANT CENTER,PA,All Others,Data not provided by CMS,Hershey,Dauphin County,No,Transplant Hospitals,0,Point,40.26461666,-76.67406145
399815,LEHIGH VALLEY HOSPITAL - TRANSPLANT CENTER,PA,All Others,Data not provided by CMS,Allentown,Lehigh County,No,Transplant Hospitals,0,Point,40.60334999,-75.46736998
089801,"NEMOURS CHILDREN'S HOSPITAL, DELAWARE",DE,All Others,Data not provided by CMS,Wilmington,New Castle County,No,Transplant Hospitals,0,Point,39.77929998,-75.555386
089800,CHRISTIANACARE,DE,All Others,Data not provided by CMS,Newark,New Castle County,No,Transplant Hospitals,0,Point,39.68566599,-75.67287396
36034E,NORTH CANTON COMM HOSP,OH,All Others,Data not provided by CMS,North Canton,Stark County,No,Data not provided by CMS,22,Point,40.88534914,-81.40409363
36004F,VA HOSP,OH,All Others,Data not provided by CMS,Cleveland,Cuyahoga County,No,Data not provided by CMS,795,Point,41.3675827,-81.75980633
36033E,RIDGECLIFF HOSP,OH,All Others,Data not provided by CMS,Wickliffe,Lake County,No,Data not provided by CMS,58,Point,41.59715331,-81.47830229
36026E,GOODYEAR TIRE HOSP,OH,All Others,Data not provided by CMS,Akron,Summit County,No,Data not provided by CMS,0,Point,41.068665,-81.46767999
36003F,VA HOSP,OH,All Others,Data not provided by CMS,Cincinnati,Hamilton County,No,Data not provided by CMS,463,Point,39.13816058,-84.50950033
36037E,LIMA STATE HOSP,OH,All Others,Data not provided by CMS,Lima,Allen County,No,Data not provided by CMS,1501,Point,40.74135,-84.10859999
36023E,NIGHTINGALE COTTAGE HOSP,OH,All Others,Data not provided by CMS,Reynoldsburg,Franklin County,No,Data not provided by CMS,30,Point,39.94082981,-82.83001222
36042F,AIRFORCE MEDICAL CTR WRIGHT-PATTERSON,OH,All Others,Data not provided by CMS,Wright Patterson Afb,Greene County,No,Data not provided by CMS,135,Point,39.80437453,-84.03628984
36020E,DARTMOUTH HOSP,OH,All Others,Data not provided by CMS,Dayton,Montgomery County,No,Data not provided by CMS,28,Point,39.7739641,-84.21592551
36006F,US AIR FORCE HOSP,OH,All Others,Data not provided by CMS,Dayton,Greene County,No,Data not provided by CMS,350,Point,39.80007,-84.04040999
36007F,DAYTON VA MEDICAL CENTER,OH,All Others,Data not provided by CMS,Dayton,Montgomery County,No,Data not provided by CMS,762,Point,39.74937129,-84.25319569
36005F,US AIR FORCE HOSP,OH,All Others,Data not provided by CMS,Lockbourne,Franklin County,No,Data not provided by CMS,70,Point,39.82551997,-82.97320996
36001F,LOUIS STOKES VA MEDICAL CENTER-WADE PARK DIVISION,OH,All Others,Data not provided by CMS,Cleveland,Cuyahoga County,No,Data not provided by CMS,949,Point,41.51252434,-81.61362713
36041E,WOODRUFF HOSP,OH,All Others,Data not provided by CMS,Cleveland,Cuyahoga County,No,Data not provided by CMS,96,Point,41.50348265,-81.62558887
36012E,DENISON UNIVERSITY INFIRMARY,OH,All Others,Data not provided by CMS,Granville,Licking County,No,Data not provided by CMS,27,Point,40.0674,-82.52194499
36030E,MADISON HOSP,OH,All Others,Data not provided by CMS,Mansfield,Richland County,No,Data not provided by CMS,38,Point,40.76031445,-82.49158974
369811,CHRIST HOSPITAL - TRANSPLANT,OH,All Others,Data not provided by CMS,Cincinnati,Hamilton County,No,Transplant Hospitals,0,Point,39.12121728,-84.50854739
369806,CINCINNATI CHILDREN'S HOSPITAL MEDICAL CENTER,OH,All Others,Data not provided by CMS,Cincinnati,Hamilton County,No,Transplant Hospitals,0,Point,39.1410569,-84.5004068
369804,UNIVERSITY OF CINCINNATI MEDICAL CENTER,OH,All Others,Data not provided by CMS,Cincinnati,Hamilton County,No,Transplant Hospitals,0,Point,39.13677346,-84.50236096
369803,OHIO STATE UNIVERSITY HOSPITALS,OH,All Others,Data not provided by CMS,Columbus,Franklin County,No,Transplant Hospitals,0,Point,39.99412917,-83.0184693
369810,NATIONWIDE CHILDREN'S HOSPITAL,OH,All Others,Data not provided by CMS,Columbus,Franklin County,No,Transplant Hospitals,0,Point,39.95245376,-82.981055
369805,UNIVERSITY OF TOLEDO MEDICAL CENTER,OH,All Others,Data not provided by CMS,Toledo,Lucas County,No,Transplant Hospitals,0,Point,41.62119248,-83.61692696
369807,UNIVERSITY HOSPITALS CASE MEDICAL CENTER,OH,All Others,Data not provided by CMS,Cleveland,Cuyahoga County,No,Transplant Hospitals,0,Point,41.50733493,-81.60725395
369801,CLEVELAND CLINIC TRANSPLANT CENTER,OH,All Others,Data not provided by CMS,Cleveland,Cuyahoga County,No,Transplant Hospitals,0,Point,41.50344116,-81.62166462
222000,SPAULDING HOSPITAL FOR CONTINUING MED CARE-CAMB,MA,All Others,Long-Term Hospital,Cambridge,Middlesex County,No,Long Term,180,Point,42.37555028,-71.10721375
222047,WHITTIER REHABILITATION HOSPITAL - BRADFORD,MA,All Others,Long-Term Hospital,Bradford,Essex County,No,Long Term,60,Point,42.76166868,-71.11896794
222023,WESTERN MASSACHUSETTS HOSPITAL,MA,All Others,Long-Term Hospital,Westfield,Hampden County,No,Long Term,102,Point,42.11130613,-72.7009365
222003,TEWKSBURY HOSPITAL,MA,All Others,Long-Term Hospital,Tewksbury,Middlesex County,No,Long Term,760,Point,42.61101005,-71.21921073
222027,NEW ENGLAND SINAI HOSPITAL,MA,All Others,Long-Term Hospital,Stoughton,Norfolk County,No,Long Term,212,Point,42.1446309,-71.09876437
222006,LEMUEL SHATTUCK HOSPITAL,MA,All Others,Long-Term Hospital,Jamaica Plain,Suffolk County,No,Long Term,260,Point,42.29961275,-71.10193986
332008,HENRY J CARTER SPECIALTY HOSPITAL,NY,All Others,Long-Term Hospital,New York,New York County,No,Long Term,411,Point,40.80313223,-73.94077035
312023,ACUITY SPECIALTY HOSPITAL OF NEW JERSEY,NJ,All Others,Long-Term Hospital,Atlantic City,Atlantic County,No,Long Term,30,Point,39.35794012,-74.43368602
312024,SILVER LAKE HOSPITAL LTACH,NJ,All Others,Long-Term Hospital,Newark,Essex County,No,Long Term,63,Point,40.77295713,-74.18700091
312018,CARE ONE AT TRINITAS REGIONAL MEDICAL CENTER,NJ,All Others,Long-Term Hospital,Elizabeth,Union County,No,Long Term,75,Point,40.65902481,-74.21440194
312020,KINDRED HOSPITAL NEW JERSEY - MORRIS COUNTY,NJ,All Others,Long-Term Hospital,Dover,Morris County,No,Long Term,45,Point,40.88605708,-74.57629882
212002,WESTERN MARYLAND CENTER,MD,All Others,Long-Term Hospital,Hagerstown,Washington County,No,Long Term,123,Point,39.66548329,-77.7189127
512002,SELECT SPECIALTY HOSPITAL - CHARLESTON,WV,All Others,Long-Term Hospital,Charleston,Kanawha County,No,Long Term,32,Point,38.35340305,-81.63254508
512004,SELECT SPECIALTY HOSPITAL - MORGANTOWN,WV,All Others,Long-Term Hospital,Morgantown,Monongalia County,No,Long Term,25,Point,39.66353098,-79.94592746
512003,"CORNERSTONE SPECIALTY HOSPITALS HUNTINGTON, LLC",WV,All Others,Long-Term Hospital,Huntington,Cabell County,No,Long Term,28,Point,38.43186475,-82.40129678
492001,LAKE TAYLOR TRANSITIONAL CARE HOSPITAL,VA,All Others,Long-Term Hospital,Norfolk,Norfolk City,No,Long Term,296,Point,36.86748067,-76.20450581
492007,HOSPITAL FOR EXTENDED RECOVERY,VA,All Others,Long-Term Hospital,Norfolk,Norfolk City,No,Long Term,35,Point,36.86320473,-76.30379901
392043,CURAHEALTH HERITAGE VALLEY,PA,All Others,Long-Term Hospital,Beaver,Beaver County,No,Long Term,35,Point,40.712246,-80.32209496
392028,PAM HEALTH SPECIALTY HOSPITAL OF PITTSBURGH,PA,All Others,Long-Term Hospital,Oakdale,Allegheny County,No,Long Term,63,Point,40.4399214,-80.2100797
392047,SELECT SPECIALTY HOSPITAL - DANVILLE,PA,All Others,Long-Term Hospital,Danville,Montour County,No,Long Term,30,Point,40.96974942,-76.60341433
392050,GOOD SHEPHERD PENN PARTNERS,PA,All Others,Long-Term Hospital,Philadelphia,Philadelphia County,No,Long Term,38,Point,39.9455658,-75.1725828
392036,SELECT SPECIALTY HOSPITAL LAUREL HIGHLANDS INC,PA,All Others,Long-Term Hospital,Latrobe,Westmoreland County,No,Long Term,40,Point,40.32065341,-79.394186
392045,"SELECT SPECIALTY HOSPITAL - MCKEESPORT, INC",PA,All Others,Long-Term Hospital,Mckeesport,Allegheny County,No,Long Term,30,Point,40.35219552,-79.84965912
392044,SELECT SPECIALTY HOSPITAL - PITTSBURGH/UPMC,PA,All Others,Long-Term Hospital,Pittsburgh,Allegheny County,No,Long Term,67,Point,40.44202056,-79.96106141
392037,SELECT SPECIALTY HOSPITAL - ERIE,PA,All Others,Long-Term Hospital,Erie,Erie County,No,Long Term,50,Point,42.12250074,-80.08744433
392039,SELECT SPECIALTY HOSPITAL - CENTRAL PA HARRISBURG,PA,All Others,Long-Term Hospital,Harrisburg,Dauphin County,No,Long Term,92,Point,40.25725856,-76.88058425
392033,GOOD SHEPHERD SPECIALTY HOSPITAL,PA,All Others,Long-Term Hospital,Bethlehem,Lehigh County,No,Long Term,32,Point,40.64464901,-75.40811797
082000,SELECT SPECIALTY HOSPITAL WILMINGTON,DE,All Others,Long-Term Hospital,Wilmington,New Castle County,No,Long Term,35,Point,39.75082636,-75.54974774
362019,"SELECT SPECIALTY HOSPITAL-CINCINNATI, INC",OH,All Others,Long-Term Hospital,Cincinnati,Hamilton County,No,Long Term,36,Point,39.12121728,-84.50854739
362020,KINDRED HOSPITAL LIMA,OH,All Others,Long-Term Hospital,Lima,Allen County,No,Long Term,12,Point,40.74005753,-84.11793
362022,"SELECT SPECIALTY HOSPITAL-COLUMBUS, INC",OH,All Others,Long-Term Hospital,Columbus,Franklin County,No,Long Term,186,Point,39.98426911,-83.00845176
362037,SELECT SPECIALTY HOSPITAL COLUMBUS,OH,All Others,Long-Term Hospital,Columbus,Franklin County,No,Long Term,43,Point,39.93290326,-82.9959017
362038,ADVANCED SPECIALTY HOSPITAL OF TOLEDO,OH,All Others,Long-Term Hospital,Toledo,Lucas County,No,Long Term,40,Point,41.62073056,-83.59701332
362032,AULTMAN SPECIALTY HOSPITAL,OH,All Others,Long-Term Hospital,Canton,Stark County,No,Long Term,30,Point,40.79684987,-81.40409162
362016,"SELECT SPECIALTY HOSPITAL-NORTHEAST OHIO, INC",OH,All Others,Long-Term Hospital,Canton,Stark County,No,Long Term,61,Point,40.81239985,-81.39702249
362028,PAM SPECIALTY HOSPITAL OF DAYTON,OH,All Others,Long-Term Hospital,Miamisburg,Montgomery County,No,Long Term,44,Point,39.637612,-84.24923896
362033,KINDRED HOSPITALS-DAYTON,OH,All Others,Long-Term Hospital,Dayton,Montgomery County,No,Long Term,67,Point,39.746989,-84.1971498
362036,REGENCY HOSPITAL OF TOLEDO,OH,All Others,Long-Term Hospital,Sylvania,Lucas County,No,Long Term,45,Point,41.71751786,-83.66861322
362029,REGENCY HOSPITAL OF CLEVELAND EAST,OH,All Others,Long-Term Hospital,Cleveland,Cuyahoga County,No,Long Term,142,Point,41.43229121,-81.50555741
362015,GRACE HOSPITAL,OH,All Others,Long-Term Hospital,Bedford,Cuyahoga County,No,Long Term,104,Point,41.39542542,-81.53431002
362027,SELECT SPECIALTY HOSPITAL-AKRON,OH,All Others,Long-Term Hospital,Akron,Summit County,No,Long Term,34,Point,41.08310318,-81.51151853
362031,SELECT SPECIALTY HOSPITAL SOUTHEAST OHIO,OH,All Others,Long-Term Hospital,Newark,Licking County,No,Long Term,35,Point,40.03844001,-82.4649969
224040,DR SOLOMON CARTER FULLER MENTAL HEALTH CENTER,MA,All Others,Psychiatric Hospital,Boston,Suffolk County,No,Psychiatric,60,Point,42.33640499,-71.07097082
224028,DR JOHN C CORRIGAN MENTAL HEALTH CENTER,MA,All Others,Psychiatric Hospital,Fall River,Bristol County,No,Psychiatric,16,Point,41.70756737,-71.14565726
224001,TAUNTON STATE HOSPITAL,MA,All Others,Psychiatric Hospital,Taunton,Bristol County,No,Psychiatric,45,Point,41.91228781,-71.10225988
224044,WESTBOROUGH BEHAVIORAL HEALTHCARE HOSPITAL LLC,MA,All Others,Psychiatric Hospital,Westborough,Worcester County,No,Psychiatric,152,Point,42.28347951,-71.58100585
224045,HOSPITAL FOR BEHAVIORAL MEDICINE,MA,All Others,Psychiatric Hospital,Worcester,Worcester County,No,Psychiatric,82,Point,42.31374912,-71.77047207
224032,WORCESTER RECOVERY CENTER AND HOSPITAL,MA,All Others,Psychiatric Hospital,Worcester,Worcester County,No,Psychiatric,166,Point,42.27958905,-71.7694872
224007,MCLEAN HOSPITAL CORPORATION,MA,All Others,Psychiatric Hospital,Belmont,Middlesex County,No,Psychiatric,324,Point,42.39074922,-71.19103831
224043,TARAVISTA BEHAVIORAL HEALTH CENTER,MA,All Others,Psychiatric Hospital,Devens,Worcester County,No,Psychiatric,108,Point,42.53063183,-71.61500596
224046,MIRAVISTA BEHAVIORAL HEALTH CENTER,MA,All Others,Psychiatric Hospital,Holyoke,Hampden County,No,Psychiatric,36,Point,42.1667222,-72.63369436
224013,"ARBOUR HOSPITAL, THE",MA,All Others,Psychiatric Hospital,Boston,Suffolk County,No,Psychiatric,118,Point,42.31578731,-71.11225119
224041,SOUTHCOAST BEHAVIORAL HEALTH,MA,All Others,Psychiatric Hospital,Dartmouth,Bristol County,No,Psychiatric,120,Point,41.67357259,-70.9870901
224031,CAPE COD & ISLANDS COMMUNITY MENTAL HEALTH CENTER,MA,All Others,Psychiatric Hospital,Pocasset,Barnstable County,No,Psychiatric,16,Point,41.68837809,-70.60239871
414003,EMMA PENDLETON BRADLEY HOSPITAL,RI,All Others,Psychiatric Hospital,Riverside,Providence County,No,Psychiatric,60,Point,41.7928806,-71.36605362
414000,BUTLER HOSPITAL,RI,All Others,Psychiatric Hospital,Providence,Providence County,No,Psychiatric,143,Point,41.84334301,-71.38145001
304001,HAMPSTEAD HOSPITAL & RESIDENTIAL TREATMENT FACILIT,NH,All Others,Psychiatric Hospital,Hampstead,Rockingham County,No,Psychiatric,111,Point,42.87205101,-71.15066595
074012,SOUTHWEST CONNECTICUT MENTAL HEALTH,CT,All Others,Psychiatric Hospital,Bridgeport,Fairfield County,No,Psychiatric,62,Point,41.18943198,-73.16763751
074003,CONNECTICUT VALLEY HOSP,CT,All Others,Psychiatric Hospital,Middletown,Middlesex County,No,Psychiatric,386,Point,41.55783312,-72.62115294
074011,CONNECTICUT MENTAL HEALTH CENTER,CT,All Others,Psychiatric Hospital,New Haven,New Haven County,No,Psychiatric,70,Point,41.30524867,-72.93623345
204005,SPRING HARBOR HOSPITAL,ME,All Others,Psychiatric Hospital,Westbrook,Cumberland County,No,Psychiatric,100,Point,43.65344413,-70.34371868
204006,NORTHERN LIGHT ACADIA HOSPITAL,ME,All Others,Psychiatric Hospital,Bangor,Penobscot County,No,Psychiatric,100,Point,44.8205065,-68.76325241
334009,NEW YORK STATE PSYCHIATRIC INSTITUTE,NY,All Others,Psychiatric Hospital,New York,New York County,No,Psychiatric,22,Point,40.84245371,-73.94335063
334053,BRONX PSYCHIATRIC CENTER,NY,All Others,Psychiatric Hospital,Bronx,Bronx County,No,Psychiatric,412,Point,40.84879009,-73.83936382
334026,BRUNSWICK PSYCH CENTER,NY,All Others,Psychiatric Hospital,Amityville,Suffolk County,No,Psychiatric,124,Point,40.68471828,-73.42055365
334027,SOUTH OAKS HOSP,NY,All Others,Psychiatric Hospital,Amityville,Suffolk County,No,Psychiatric,245,Point,40.68599274,-73.4228606
334012,GREATER BINGHAMTON HEALTH CENTER,NY,All Others,Psychiatric Hospital,Binghamton,Broome County,No,Psychiatric,154,Point,42.1060821,-75.8683795
334022,BRYLIN HOSP,NY,All Others,Psychiatric Hospital,Buffalo,Erie County,No,Psychiatric,88,Point,42.91837096,-78.86779502
334001,HUTCHINGS PSYCHIATRIC CTR,NY,All Others,Psychiatric Hospital,Syracuse,Onondaga County,No,Psychiatric,128,Point,43.04523978,-76.1405218
334004,CREEDMOOR PSYCHIATRIC CENTER,NY,All Others,Psychiatric Hospital,Queens Village,Queens County,No,Psychiatric,476,Point,40.73730393,-73.73404346
334067,NEW YORK CITY CHILDRENS PSYCH CENTER,NY,All Others,Psychiatric Hospital,Bellerose,Queens County,No,Psychiatric,96,Point,40.74584175,-73.72648498
334064,SAGAMORE CHILDREN'S PSYCHIATRIC CENTER,NY,All Others,Psychiatric Hospital,Dix Hills,Suffolk County,No,Psychiatric,44,Point,40.79364111,-73.38418775
334060,KIRBY FORENSIC PSYCHIATRIC CENTER,NY,All Others,Psychiatric Hospital,New York,New York County,No,Psychiatric,164,Point,40.78655403,-73.92794658
334054,MANHATTAN PSYCHIATRIC CENTER,NY,All Others,Psychiatric Hospital,New York,New York County,No,Psychiatric,509,Point,40.78655403,-73.92794658
334066,ROCKLAND CHILDREN'S PSYCHIATRIC CENTER,NY,All Others,Psychiatric Hospital,Orangeburg,Rockland County,No,Psychiatric,30,Point,41.04651609,-73.9693145
334015,ROCKLAND PSYCH CTR,NY,All Others,Psychiatric Hospital,Orangeburg,Rockland County,No,Psychiatric,503,Point,41.04458779,-73.96974466
334043,SOUTH BEACH PSYCHIATRIC CENTER,NY,All Others,Psychiatric Hospital,Staten Island,Richmond County,No,Psychiatric,260,Point,40.58253579,-74.07855484
334002,FOUR WINDS,NY,All Others,Psychiatric Hospital,Katonah,Westchester County,No,Psychiatric,175,Point,41.26341931,-73.6242634
